time_h,mode,T_btes_C,T_aria_C,Tw_in_C,Tw_out_C,Q_rtc_W,Q_dc_W,Q_solar_W,Q_dc_demand_W,T_dc_ret_C,Ta_C,Tb_C,Tc_C,Td_C,n_iter,mpc_best_reward,threshold_mode,threshold_reward,mpc_gain,mpc_changed,mpc_n_candidates
1191.0,charge,20.92149313481985,28.0,20.921493134819855,21.12919779084939,726.0974182186973,0.0,1317.0324999994307,0.0,28.0,45.71835791792512,22.643472071855797,21.95068454083804,21.20542372478576,2,1.9913604548444717,charge,1.9913604548444717,0.0,False,2
1192.0,charge,20.902291538673396,27.3,20.90229153867341,21.08642261958471,679.182776377818,0.0,954.0185000002174,0.0,27.3,42.813080660303854,22.446940489377937,21.954898640464535,21.207085723789987,2,1.2657284307989616,charge,1.2657284307989616,0.0,False,2
1193.0,charge,20.852556021801202,26.6,20.852556021801206,21.00343376857927,593.0674043662315,0.0,540.0940000003759,0.0,26.6,38.7405068231277,22.138287133191227,21.95518210826674,21.20874930053094,2,0.5930674043662315,charge,0.5930674043662315,0.0,False,2
1194.0,idle,20.45957074113985,25.8,,,0.0,0.0,0.0,0.0,25.8,38.7405068231277,22.138287133191227,21.95518210826674,21.20874930053094,1,0.0,idle,0.0,0.0,False,1
1195.0,idle,20.422337841330222,25.2,,,0.0,0.0,0.0,0.0,25.2,38.7405068231277,22.138287133191227,21.95518210826674,21.20874930053094,1,0.0,idle,0.0,0.0,False,1
1196.0,idle,20.398809899260772,24.7,,,0.0,0.0,0.0,0.0,24.7,38.7405068231277,22.138287133191227,21.95518210826674,21.20874930053094,1,0.0,idle,0.0,0.0,False,1
1197.0,idle,20.382054273002925,24.2,,,0.0,0.0,0.0,0.0,24.2,38.7405068231277,22.138287133191227,21.95518210826674,21.20874930053094,1,0.48893283026736184,idle,0.48893283026736184,0.0,False,1
1198.0,idle,20.369651739531378,23.8,,,0.0,0.0,0.0,0.0,23.8,38.7405068231277,22.138287133191227,21.95518210826674,21.20874930053094,1,0.956810924878404,idle,0.956810924878404,0.0,False,1
1199.0,idle,20.35956360518315,23.2,,,0.0,0.0,0.0,0.0,23.2,38.7405068231277,22.138287133191227,21.95518210826674,21.20874930053094,1,1.4308772932185787,idle,1.4308772932185787,0.0,False,1
1200.0,idle,20.351068146131457,22.7,,,0.0,0.0,0.0,0.0,22.7,38.7405068231277,22.138287133191227,21.95518210826674,21.20874930053094,1,1.97134128237915,idle,1.97134128237915,0.0,False,1
1201.0,idle,20.34431936218378,22.5,,,0.0,0.0,0.0,0.0,22.5,38.7405068231277,22.138287133191227,21.95518210826674,21.20874930053094,1,2.5844321149857445,idle,2.5844321149857445,0.0,False,1
1202.0,idle,20.338555649109562,22.7,,,0.0,0.0,0.0,0.0,22.7,38.7405068231277,22.138287133191227,21.95518210826674,21.20874930053094,1,3.2594572302720963,idle,3.2594572302720963,0.0,False,1
1203.0,idle,20.33362282753712,22.4,,,0.0,0.0,0.0,0.0,22.4,38.7405068231277,22.138287133191227,21.95518210826674,21.20874930053094,1,3.9724876981043695,idle,3.9724876981043695,0.0,False,1
1204.0,idle,20.329342415500744,22.2,,,0.0,0.0,0.0,0.0,22.2,38.7405068231277,22.138287133191227,21.95518210826674,21.20874930053094,1,4.691942739593815,idle,4.691942739593815,0.0,False,1
1205.0,idle,20.325572461804246,22.1,,,0.0,0.0,0.0,0.0,22.1,38.7405068231277,22.138287133191227,21.95518210826674,21.20874930053094,1,5.375340475634188,idle,5.375340475634188,0.0,False,1
1206.0,idle,20.32218062008307,21.7,,,0.0,0.0,0.0,0.0,21.7,38.7405068231277,22.138287133191227,21.95518210826674,21.20874930053094,1,5.978736679933541,idle,5.978736679933541,0.0,False,1
1207.0,idle,20.318310501368746,23.4,,,0.0,0.0,0.0,0.0,23.4,38.7405068231277,22.138287133191227,21.95518210826674,21.20874930053094,1,5.978736679933541,idle,5.978736679933541,0.0,False,1
